酒蔵,ブランド,商品名,出典URL,http_status,serving_terms,serving_snippet,scan_error
今田酒造本店,富久長,八反草 純米大吟醸,https://fukucho.jp/products/daiginjo,200.0,おすすめ温度 / 冷酒,"市産特別栽培八反草（契約栽培） 精米歩合 麹米 : 40% 掛米 : 40% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # 八反草 # 火入れ # 純米大吟醸酒 # 純米酒 {""id"":7614222401711,""title"":""富久長 八反草 純米大吟醸 【特別栽培米】"",""handle"":""daiginjo"",""description"":""\u",
今田酒造本店,富久長,八反草 純米大吟醸 はしり,https://fukucho.jp/products/daiginjo_hashiri,200.0,おすすめ温度 / 冷酒,"市産特別栽培八反草（契約栽培） 精米歩合 麹米 : 40% 掛米 : 40% アルコール分 16％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # 八反草 # 火入れ # 純米大吟醸酒 # 純米酒 {""id"":7614221451439,""title"":""富久長 八反草 純米大吟醸 はしり 【特別栽培米】"",""handle"":""daiginjo_hashiri"",""desc",
今田酒造本店,富久長,八反草 純米大吟醸 妙花風,https://fukucho.jp/products/daiginjo_myokafu,200.0,おすすめ温度 / 冷酒,"安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 40% 掛米 : 40% アルコール分 16％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # 八反草 # 火入れ # 純米大吟醸酒 # 純米酒 # 雫 酒 {""id"":7614219026607,""title"":""富久長 八反草 純米大吟醸 妙花風 【特別栽培米】"",""handle"":""daiginjo_myokafu""",
今田酒造本店,富久長,山田錦 純米吟醸,https://fukucho.jp/products/yamadanishiki-junmaiginjo,200.0,おすすめ温度 / 冷酒,"庫県特A地区山田錦 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 16％ 酵母 広島県酵母のブレンド 酒母 速醸 仕様 直汲み / 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # 山田錦 # 火入れ # 純米吟醸酒 # 純米酒 {""id"":6987737333935,""title"":""富久長 山田錦 純米吟醸"",""handle"":""yamadanishiki-junmaiginjo"",""description"":""\u",
今田酒造本店,富久長,海風土 Seafood 純米,https://fukucho.jp/products/seafood,200.0,おすすめ温度 / 冷酒 / 冷やして,"酒 原材料 米 / 米麹 原料米 国産米 精米歩合 麹米 : 60% 掛米 : 70% アルコール分 13％ 酵母 広島県酵母 酒母 速醸 仕様 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # 低アルコール # 火入れ # 白 麹 # 純米酒 {""id"":6987609768111,""title"":""富久長 海風土 Seafood 純米"",""handle"":""seafood"",""description"":""\u003c",
今田酒造本店,富久長,秋櫻〈コスモス〉 純米 ひやおろし,https://fukucho.jp/products/cosmos,200.0,おすすめ温度 / 冷酒 / 常温,"A地区山田錦 / 広島県産米 精米歩合 麹米 : 60% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 / 常温 保存方法 冷暗所 販売時期 秋季 # 季節限定 # 火入れ # 純米酒 {""id"":6969625346223,""title"":""富久長 秋櫻〈コスモス〉 純米 ひやおろし"",""handle"":""cosmos"",""description"":""\u003cp\u003eコ",
今田酒造本店,富久長,秋櫻〈コスモス〉 純米吟醸 ひやおろし,https://fukucho.jp/products/cosmos-junmaiginjo,200.0,おすすめ温度 / 冷酒,"A地区山田錦 / 広島県産米 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷暗所 販売時期 秋季 # 季節限定 # 火入れ # 純米吟醸酒 # 純米酒 {""id"":6969578193071,""title"":""富久長 秋櫻〈コスモス〉 純米吟醸 ひやおろし"",""handle"":""cosmos-junmaiginjo"",""description",
今田酒造本店,富久長,純米にごり スパークリング 白美 HAKUBI,https://fukucho.jp/products/hakubi,200.0,おすすめ温度 / 冷酒 / 常温,"/ 兵庫県特A地区山田錦 / 広島県産米 精米歩合 麹米 : 60% 掛米 : 65% アルコール分 14％ 酵母 広島県酵母 酒母 速醸 仕様 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # にごり # スパークリング # 低アルコール # 火入れ # 純米酒 {""id"":6987774296239,""title"":""富久長 純米にごり スパークリング 白美 HAKUBI"",""handle"":""hakubi"",""de",
今田酒造本店,富久長,純米吟醸 美穂 Biho,https://fukucho.jp/products/biho,200.0,おすすめ温度 / 冷酒,"A地区山田錦 / 広島県産米 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # 火入れ # 直汲み # 純米吟醸酒 # 純米酒 {""id"":6987741233327,""title"":""富久長 純米吟醸 美穂 Biho"",""handle"":""biho"",""description"":""\u003cp\u003e「さわやかで",
今田酒造本店,富久長,辛口純米,https://fukucho.jp/products/karakuchi,200.0,おすすめ温度 / 冷酒 / 常温 / 燗酒,"特A地区山田錦 / 広島県産米 精米歩合 麹米 : 60% 掛米 : 65% 原形精米 アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 / 常温 / 燗酒 保存方法 冷暗所 販売時期 通年 # おすすめ # 原形精米 # 火入れ # 純米酒 # 辛 口 {""id"":6987615469743,""title"":""富久長 辛口純米"",""handle"":""karakuchi"",""description"":""\u003c",
山陽鶴酒造,山陽鶴,にごり酒,https://sanyotsuru.jp/archives/product/gosyu,200.0,,,
山陽鶴酒造,山陽鶴,上撰,https://sanyotsuru.jp/archives/product/gosyu,200.0,,,
山陽鶴酒造,山陽鶴,大吟醸,https://sanyotsuru.jp/archives/product/gosyu,200.0,,,
山陽鶴酒造,山陽鶴,本醸造,https://sanyotsuru.jp/archives/product/gosyu,200.0,,,
山陽鶴酒造,山陽鶴,純米吟醸,https://sanyotsuru.jp/archives/product/gosyu,200.0,,,
柄酒造,9代目於多福,9代目於多福 protos. 火入れ,https://www.tsukasyuzou.jp/products/9代目於多福-protos-720ml-火入れ,200.0,,,
柄酒造,9代目於多福,9代目於多福 特別純米 火入れ,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-特別純米,200.0,飲み方 / 冷酒 / 常温,"方お選びいただけます。「容量」のタブから選択してください。 内容量：720ml 又は 1800ml 原料米：八反錦 精米歩合：米麹 50% 掛け米 60% アルコール度数：15度 飲み方：◎冷酒 ○常温 {""id"":7981920288942,""title"":""【火入れ】9代目於多福 特別純米 720ml・1800ml"",""handle"":""火入れ-9代目於多福-特別純米"",""description"":""\u003cp\u003e「9代目於多福 特別純米 火入れ」。柄酒造のラ",
柄酒造,9代目於多福,9代目於多福 純米 つきあかり,https://www.tsukasyuzou.jp/products/9代目於多福-つきあかり-720ml,200.0,飲み方 / 冷酒 / 常温,"みずしく、まろやかな秋のお酒です。 月あかりの下で、ゆったりとした時間をお酒と共にお過ごしください。 内容量：720ml 原料米：山田錦 精米歩合：60% アルコール度数：15度 飲み方：◎冷酒 ○常温 {""id"":8046672674990,""title"":""9代目於多福 つきあかり 720ml"",""handle"":""9代目於多福-つきあかり-720ml"",""description"":""\u003cp\u003e「9代目於多福 純米つきあかり」。みずみずしく、まろやかな秋の",
柄酒造,9代目於多福,9代目於多福 純米 火入れ,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米,200.0,飲み方 / 冷酒 / 常温,"00ml（一升瓶）両方お選びいただけます。 「容量」のタブから選択してください。 内容量：720ml 又は 1800ml 原料米：八反錦 精米歩合：60% アルコール度数：15度 飲み方：◎冷酒 ○常温 {""id"":7981013172398,""title"":""【火入れ】9代目於多福 純米 720ml・1800ml"",""handle"":""火入れ-9代目於多福-純米"",""description"":""\u003cp\u003e「9代目於多福 純米 火入れ」。米の旨味を感じられるす",
柄酒造,9代目於多福,9代目於多福 純米吟醸 すずかぜ,https://www.tsukasyuzou.jp/products/9代目於多福-すずかぜ-720ml,200.0,飲み方 / 冷酒 / 常温 / ロック / オンザロック,"醸 すずかぜ」。みずみずしく爽やかな夏のお酒です。 常温や冷酒、オンザロックでも飲んで頂ける商品です。 内容量：720ml 原料米：雄町 精米歩合：50% アルコール度数：15度 飲み方：◎冷酒 ○常温 {""id"":8008537899182,""title"":""9代目於多福 純米吟醸 すずかぜ 720ml"",""handle"":""9代目於多福-すずかぜ-720ml"",""description"":""\u003cp\u003e「9代目於多福 純米吟醸 すずかぜ」。みずみずしく爽やか",
柄酒造,9代目於多福,9代目於多福 純米吟醸 火入れ,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米吟醸,200.0,飲み方 / 冷酒 / 常温,"00ml（一升瓶）両方お選びいただけます。 「容量」のタブから選択してください。 内容量：720ml 又は 1800ml 使用米：八反錦 精米歩合：50% アルコール度数：15度 飲み方：◎冷酒 〇常温 {""id"":7981919305902,""title"":""【火入れ】9代目於多福 純米吟醸 720ml・1800ml"",""handle"":""火入れ-9代目於多福-純米吟醸"",""description"":""\u003cp\u003e「9代目於多福 純米吟醸 火入れ」。\u003",
柄酒造,9代目於多福,9代目於多福 純米大吟醸 火入れ,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米大吟醸-720ml-1800ml,200.0,飲み方 / 冷酒 / 常温,"800ml（一升瓶）両方お選びいただけます。「容量」のタブから選択してください。 内容量：720ml 又は 1800ml 原料米：千本錦 精米歩合：40% アルコール度数：15度 飲み方：◎冷酒 ○常温 {""id"":8053542846638,""title"":""【火入れ】9代目於多福 純米大吟醸 720ml・1800ml"",""handle"":""火入れ-9代目於多福-純米大吟醸-720ml-1800ml"",""description"":""\u003cp\u003e「9代目於多福 ",
柄酒造,於多福,於多福 一番取り,https://www.tsukasyuzou.jp/products/関西一-一番取り-720ml,200.0,飲み方 / 冷酒,"けを集めた贅沢な高級酒。辛口でキレがあり、香りが広がる大吟醸です。桐箱に入れての送付となります。 内容量：720ml 使用米：千本錦 精米歩合：40％ アルコール度数：16.5度 飲み方：◎冷酒 {""id"":7986565415086,""title"":""於多福 一番取り 720ml（桐箱入り）"",""handle"":""関西一-一番取り-720ml"",""description"":""\u003cp\u003e丁寧に発酵させた日本酒のもとである「もろみ」を袋に入れて吊るし、自然に滴る",
柄酒造,於多福,於多福 大吟醸,https://www.tsukasyuzou.jp/products/於多福-大吟醸-1800ml,200.0,飲み方 / 冷酒 / 常温,"。特別な時や普段づかいなど、様々なシーンでご利用いただけます。 内容量：1800ml（一升瓶） 720mlは こちら 使用米：千本錦 精米歩合：40% アルコール度数：16.5度 飲み方：◎冷酒 〇常温 「関西一 大吟醸 1800ml」という名称で親しまれてきましたが、2023年5月よりブランド名を「於多福」に統一することとなりました。また、同じく2023年5月よりラベルが刷新されています。 {""id"":7986565251246,""title"":""於多福 大吟醸 1800m",
柄酒造,於多福,於多福 本醸造,https://www.tsukasyuzou.jp/products/関西一-本醸造-720ml,200.0,飲み方 / 冷酒 / 常温 / 熱燗,"中酒。米の旨味を感じる日本酒です。どんな温度帯でもおいしく召し上がれる普段使いに最適な一品です。 内容量：720ml 使用米：八反錦 精米歩合：65％ アルコール度数：15.5度 飲み方：◎冷酒 ◎常温 ◎熱燗 {""id"":7986570035374,""title"":""於多福 本醸造 720ml"",""handle"":""関西一-本醸造-720ml"",""description"":""\u003cp\u003e飲んだ後のキレがよく、食事を引き立たせてくれる食中酒。米の旨味を感じる日本",
柄酒造,於多福,於多福 純米,https://www.tsukasyuzou.jp/products/於多福-純米-1800ml,200.0,飲み方 / 冷酒 / 常温 / 熱燗,"る傾向がある、日本酒らしい日本酒です。冷でも燗でも楽しめます。 内容量：1800ml（一升瓶） 720mlは こちら 精米歩合：60％ 使用米：八反錦 アルコール度数：15.5度 飲み方：〇冷酒 ◎常温 ◎熱燗 {""id"":7986568560814,""title"":""於多福 純米 1800ml"",""handle"":""於多福-純米-1800ml"",""description"":""\u003cp\u003e於多福 純米の一升瓶（1800ml）。米の旨味がギュッと詰まった辛口の純米",
柄酒造,於多福,於多福 純米吟醸,https://www.tsukasyuzou.jp/products/於多福-純米吟醸-1800ml,200.0,飲み方 / 冷酒 / 常温 / 冷やして,"れることが多いすっきり辛口の酒。冷やしても常温でも楽しめます。 内容量：1800ml（一升瓶） 720mlは こちら 使用米：八反錦 精米歩合：60％ アルコール度数：15.5度 飲み方：◎冷酒 ◎常温 {""id"":7986567381166,""title"":""於多福 純米吟醸 1800ml"",""handle"":""於多福-純米吟醸-1800ml"",""description"":""\u003cp\u003e於多福 純米吟醸の一升瓶(1800ml)。穏やかな香りと味わいの調和が取れ",
白牡丹酒造,白牡丹,Paeon(ピオン),https://www.hakubotan.co.jp/products/%E3%80%90%E6%97%A5%E6%9C%AC%E9%85%92-%E7%99%BD%E7%89%A1%E4%B8%B9%E3%80%91paeon%E3%83%94%E3%82%AA%E3%83%B3%E3%80%90%E6%96%B0%E3%80%91/,,,,"ReadTimeout: HTTPSConnectionPool(host='www.hakubotan.co.jp', port=443): Read timed out. (read timeout=12)"
白牡丹酒造,白牡丹,さらりとうまくち,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%95%e3%82%89%e3%82%8a%e3%81%a8%e3%81%86%e3%81%be%e3%81%8f%e3%81%a1-720ml%e3%83%91%e3%83%83%e3%82%af%e8%a9%b0/,,,,"ReadTimeout: HTTPSConnectionPool(host='www.hakubotan.co.jp', port=443): Read timed out. (read timeout=12)"
白牡丹酒造,白牡丹,すっきり旨口,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%99%e3%81%a3%e3%81%8d%e3%82%8a%e6%97%a8%e5%8f%a3-2l%e3%83%91%e3%83%83%e3%82%af%e8%a9%b0/,,,,"ReadTimeout: HTTPSConnectionPool(host='www.hakubotan.co.jp', port=443): Read timed out. (read timeout=12)"
白牡丹酒造,白牡丹,ひろしま一途な純米酒 紅甘萬(べにかんまん),https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%b2%e3%82%8d%e3%81%97%e3%81%be%e4%b8%80%e9%80%94%e3%81%aa%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e7%b4%85%e7%94%98%e8%90%ac/,,,,"ReadTimeout: HTTPSConnectionPool(host='www.hakubotan.co.jp', port=443): Read timed out. (read timeout=12)"
白牡丹酒造,白牡丹,大吟醸,https://www.hakubotan.co.jp/products/,200.0,燗酒,"にはフルーティーでさわやかな香りを生み出す『広島もみじ酵母』を使用しました。 広島伝統の軟水醸造法により仕上げた、上品できめ細やかなお酒を食事とともにお楽しみ下さい。 2020全国燗酒コンテスト 最高金賞受賞 11,000円(税1,000円) 白牡丹 【日本酒 白牡丹】純米大吟醸 原酒 万年蔵 杜氏 鹿島正720ml瓶詰 白牡丹酒造 万年蔵杜氏 鹿島正が『広島らしさ』にこだわり醸し出した極上の逸品です。 広島独自の酒造好適米『千本錦』を自社精米所で３８％まで丁寧に精米したもの",
白牡丹酒造,白牡丹,大吟醸 いちの雫（しずく酒）,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%a4%a7%e5%90%9f%e9%86%b8%e3%80%80%e3%81%84%e3%81%a1%e3%81%ae%e9%9b%ab720ml%e7%93%b6%e8%a9%b0%ef%bc%88%e3%81%97%e3%81%9a/,,,,"ReadTimeout: HTTPSConnectionPool(host='www.hakubotan.co.jp', port=443): Read timed out. (read timeout=12)"
白牡丹酒造,白牡丹,大吟醸 中汲み,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%a4%a7%e5%90%9f%e9%86%b8-%e4%b8%ad%e6%b1%b2%e3%81%bf-720ml%e7%93%b6%e8%a9%b0%e3%80%90%e6%b5%81%e9%80%9a%e9%99%90%e5%ae%9a/,,,,"ReadTimeout: HTTPSConnectionPool(host='www.hakubotan.co.jp', port=443): Read timed out. (read timeout=12)"
白牡丹酒造,白牡丹,山田錦 純米吟醸 うすにごり,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80%e3%81%86%e3%81%99%e3%81%ab%e3%81%94%e3%82%8a/,,,,"ReadTimeout: HTTPSConnectionPool(host='www.hakubotan.co.jp', port=443): Read timed out. (read timeout=12)"
白牡丹酒造,白牡丹,山田錦 純米大吟醸 氷華,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8/,,,,"ReadTimeout: HTTPSConnectionPool(host='www.hakubotan.co.jp', port=443): Read timed out. (read timeout=12)"
白牡丹酒造,白牡丹,山田錦 純米酒,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e7%b4%94%e7%b1%b3%e9%85%921-8l%e7%93%b6%e8%a9%b0/,,,,"ReadTimeout: HTTPSConnectionPool(host='www.hakubotan.co.jp', port=443): Read timed out. (read timeout=12)"
白牡丹酒造,白牡丹,広島の酒,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e3%81%ae%e9%85%92-1-8l%e7%93%b6%e8%a9%b0/,200.0,飲み方 / 常温 / ぬる燗 / 熱燗,ド 350110 記号 JAN 4950198361109 ALC度 15度 精米歩合 75％ 原料米 国産米100％ 日本酒度 -5 酸度 1.0 アミノ酸度 0.9 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県東広島市西条本町15番5号 082-422-2142 0120-76-1675 東広島観光協会 個人情報の取り扱いについて © Copyright 白牡丹酒造株式会社 All Right Reserve,
白牡丹酒造,白牡丹,広島の酒 原酒,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e3%81%ae%e9%85%92%e5%8e%9f%e9%85%92-720ml%e7%93%b6%e8%a9%b0/,,,,"ReadTimeout: HTTPSConnectionPool(host='www.hakubotan.co.jp', port=443): Read timed out. (read timeout=12)"
白牡丹酒造,白牡丹,広島上撰 金紋,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b-1-8l%e7%93%b6%e8%a9%b0/,200.0,飲み方 / 常温 / ぬる燗 / 熱燗,ド 240410 記号 JAN 4950198261102 ALC度 15度 精米歩合 70％ 原料米 国産米100％ 日本酒度 -2 酸度 1.1 アミノ酸度 0.9 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県東広島市西条本町15番5号 082-422-2142 0120-76-1675 東広島観光協会 個人情報の取り扱いについて © Copyright 白牡丹酒造株式会社 All Right Reserve,
白牡丹酒造,白牡丹,広島上撰 金紋 原酒,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b%e3%80%80%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0%e3%80%90/,,,,"ReadTimeout: HTTPSConnectionPool(host='www.hakubotan.co.jp', port=443): Read timed out. (read timeout=12)"
